"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"DICER1"	"ATP7B"	"FTSJ1"	"KRT83"
"DIP2A"	"ATXN2"	"FZR1"	"KRT86"
"DLX4"	"ATXN3"	"GABBR2"	"LRRK2"
"DMC1"	"ATXN8OS"	"GABRA2"	"MED12"
"DPF3"	"C19orf12"	"GABRA5"	"MSTO1"
"EDNRA"	"C9orf72"	"GABRB2"	"MT-TE"
"EFEMP1"	"CAT"	"GABRD"	"MT-TS2"
"EFEMP2"	"CBS"	"GABRG2"	"MTHFR"
"EIF2AK2"	"CHCHD10"	"GAMT"	"MYO7A"
"EIF5B"	"CHCHD2"	"GATM"	"NIPA1"
"EMID1"	"CHMP2B"	"GJA5"	"NIPA2"
"ENAH"	"CLN3"	"GJA8"	"NKX2-1"
"ENOSF1"	"COASY"	"GLRA2"	"PCDH15"
"EP300"	"COMT"	"GNB1"	"PDZD7"
"EPS8"	"COQ2"	"GP1BB"	"PRODH"
"ERAL1"	"CP"	"GRIA3"	"PSAP"
"ERAP1"	"CSF1R"	"GRIN2D"	"RBM12"
"ERBIN"	"CYP27A1"	"GTF2I"	"RREB1"
"ERF"	"DCTN1"	"GTF2IRD1"	"RTN4R"
"ERLIN2"	"DNAJC12"	"GTF2IRD2"	"SEC24C"
"ESS2"	"DNAJC13"	"H4C5"	"SETD1A"
"EWSR1"	"DNAJC5"	"HCN1"	"SHANK3"
"F2R"	"DNAJC6"	"HDAC4"	"SLC12A2"
"FADS1"	"EIF2AK2"	"HDAC8"	"SNCA"
"FAM3A"	"EIF4G1"	"HECTD4"	"SYN2"
"FAXDC2"	"FBXO7"	"HERC2"	"TBX1"
"FBN1"	"FMR1"	"HESX1"	"TPM2"
"FBN2"	"FTL"	"HIRA"	"TUBG1"
"FBXW4"	"FUS"	"HNF1B"	"UFD1"
"FBXW4P1"	"GABRA1"	"HSPG2"	"UPF3B"
"FGL1"	"GABRG2"	"IFNG"	"USH1C"
"FLII"	"GBA1"	"IFT172"	"USH1G"
"FLNC"	"GCH1"	"IFT27"	"USH2A"
"FNBP1"	"GIGYF2"	"IFT74"	"VPS35"
"FUT2"	"GP1BB"	"IL1RAPL1"	"WFS1"
"FYN"	"GRN"	"IQSEC2"	"WHRN"
"FZR1"	"HIRA"	"JMJD1C"	"ZBTB20"
"GABRQ"	"HTRA2"	"KCNA2"	"ZDHHC9"
"GAMT"	"IMPDH2"	"KCNAB2"	"ABCB7"
"GBP1"	"JAM2"	"KCNB1"	"ADGRV1"
"GDF1"	"JMJD1C"	"KCNC2"	"AMACR"
"GIPC1"	"JPH3"	"KDM5C"	"APOL2"
"GJA1"	"KCNN2"	"KLLN"	"APOL4"
"GLI2"	"KIF5A"	"KMT2A"	"ARSA"
"GMPR"	"LRRK2"	"LHX1"	"ARSG"
"GNAI3"	"LYST"	"LIMK1"	"ARVCF"
"GNAZ"	"MAPT"	"LUZP1"	"ATG7"
"GOLGA4"	"MECP2"	"LZTFL1"	"ATP2A2"
"GOSR2"	"MPO"	"MAGEL2"	"CAT"
"GPR107"	"MPV17"	"MAN1B1"	"CDH23"
"GPSM3"	"MT-TT"	"MAOA"	"CEP78"
"GRM6"	"MYORG"	"MECP2"	"CHI3L1"
"GTF2H1"	"NAA60"	"MED12"	"CHRNA7"
"GTF2H3"	"NOS3"	"MED13L"	"CIB2"
"GTF2I"	"NOTCH3"	"MEIS2"	"CLRN1"
"H2AJ"	"NR4A2"	"METTL27"	"CNTNAP2"
"H3-3B"	"PANK2"	"MKKS"	"COMT"
"HAO2"	"PARK7"	"MKRN3"	"DAOA"
"HERC5"	"PCBD1"	"MKS1"	"DNAJC13"
"HLA-DPA1"	"PCDH19"	"MMP23B"	"DNMT3A"
"HMGB3"	"PDE10A"	"NAA20"	"DRD3"
"HNRNPUL1"	"PDGFB"	"NAGA"	"DSG4"
"HOXB5"	"PDGFRB"	"NCF1"	"EIF4G1"
"HOXC4"	"PINK1"	"NDN"	"ESPN"
"HS2ST1"	"PLA2G6"	"NDP"	"FLI1"
"ID4"	"PLAU"	"NECAP1"	"FTSJ1"
"IFNA5"	"POLG"	"NFIB"	"GBA1"
"IFNG"	"PPP2R2B"	"NHS"	"GIGYF2"
"IFT74"	"PRKAR1B"	"NIPA1"	"GJA5"
"IKZF4"	"PRKN"	"NIPA2"	"GJA8"
"IL10RA"	"PRKRA"	"NIPBL"	"GP1BB"
"IL10RB"	"PRNP"	"NLGN3"	"HARS1"
"IL13RA1"	"PSAP"	"NONO"	"HIRA"
"IL17RA"	"PSEN1"	"NPAP1"	"HTR2A"
"IL18"	"PSEN2"	"NPHP1"	"JMJD1C"
"IL2RG"	"PTPA"	"NR2F1"	"KRT81"
"IL6R"	"PTRHD1"	"NSUN2"	"KRT83"
"INPP5K"	"PTS"	"NSUN6"	"KRT86"
"IPP"	"RAB39B"	"NTRK2"	"LRRK2"
"ISLR"	"RREB1"	"NUS1"	"MED12"
"ITGA1"	"SCARB2"	"OCA2"	"MSTO1"
"ITGA6"	"SCN1A"	"OTX2"	"MT-TE"
"ITGA7"	"SCN1B"	"PACS2"	"MT-TS2"
"ITPRID2"	"SCN2A"	"PAH"	"MTHFR"
"JAK3"	"SCN9A"	"PAK2"	"MYO7A"
"JRK"	"SEC24C"	"PARS2"	"NIPA1"
"JUND"	"SIGMAR1"	"PDE4D"	"NIPA2"
"KAT2B"	"SLC18A2"	"PDPN"	"NKX2-1"
"KCNJ14"	"SLC20A2"	"PIGA"	"PCDH15"
"KCNK10"	"SLC30A10"	"PIGL"	"PDZD7"
"KDSR"	"SLC39A14"	"PIK3CA"	"PRODH"
"KLF2"	"SLC6A3"	"PLXND1"	"PSAP"
"KLHL20"	"SNCA"	"PPP3CA"	"RBM12"
"KTN1"	"SNCAIP"	"PRDM16"	"RREB1"
"LAMA2"	"SNCB"	"PRKCZ"	"RTN4R"
"LAMA4"	"SORL1"	"PROKR2"	"SEC24C"
"LAMC1"	"SPG11"	"PTCHD1"	"SETD1A"
"LARP7"	"SPTLC1"	"PTEN"	"SHANK3"
"LEF1"	"SQSTM1"	"PWAR1"	"SLC12A2"
"LIMK2"	"STUB1"	"PWRN1"	"SNCA"
"LPAR4"	"SYNJ1"	"RAD21"	"SYN2"
"LUC7L3"	"TAF1"	"RAI1"	"TBX1"
"MAB21L2"	"TARDBP"	"RERE"	"TPM2"
"MALT1"	"TBK1"	"REV3L"	"TUBG1"
"MARCHF6"	"TBP"	"RFC2"	"UFD1"
"MATN2"	"TBX1"	"RPL10"	"UPF3B"
"MBP"	"TH"	"RREB1"	"USH1C"
"MDM1"	"TK2"	"SATB1"	"USH1G"
"MED1"	"TMEM106B"	"SATB2"	"USH2A"
"MFAP1"	"TMEM240"	"SCAPER"	"VPS35"
"MLANA"	"TNR"	"SCLT1"	"WFS1"
"MR1"	"TOMM40"	"SCN1A"	"WHRN"
"MRM3"	"TREM2"	"SCN2A"	"ZBTB20"
"MT1F"	"TRPM7"	"SCN3A"	"ZDHHC9"
"MYO10"	"TSPOAP1"	"SCN8A"	"ABCB7"
"MYO1A"	"TWNK"	"SDCCAG8"	"ADGRV1"
"NAMPT"	"UBTF"	"SDHB"	"AMACR"
"NAP1L1"	"UCHL1"	"SDHC"	"APOL2"
"NBAS"	"UFD1"	"SDHD"	"APOL4"
"NCAPD2"	"UQCRC1"	"SEC23B"	"ARSA"
"NCAPG"	"VCP"	"SEC24C"	"ARSG"
"NCOA3"	"VPS13A"	"SEMA3E"	"ARVCF"
"NDST1"	"VPS13C"	"SETD2"	"ATG7"
"NEBL"	"VPS35"	"SH2B1"	"ATP2A2"
"NEK7"	"WARS2"	"SHANK3"	"CAT"
"NFIC"	"WDR45"	"SIN3A"	"CDH23"
"NKTR"	"XPR1"	"SKI"	"CEP78"
"NMB"	"BMP2"	"SLC13A5"	"CHI3L1"
"NONO"	"FNIP1"	"SLC1A2"	"CHRNA7"
"NOTCH4"	"GAA"	"SLC35C1"	"CIB2"
"NPAS3"	"GTPBP3"	"SLC38A3"	"CLRN1"
"NSDHL"	"IFNG"	"SLC9A6"	"CNTNAP2"
"NT5C"	"JAG2"	"SMAD4"	"COMT"
"NUCKS1"	"LAMP2"	"SMC1A"	"DAOA"
"NUMA1"	"MRPS14"	"SMC3"	"DNAJC13"
"NUP98"	"MT-CO1"	"SNORD115-1"	"DNMT3A"
"OASL"	"MT-CO2"	"SNORD116-1"	"DRD3"
"OGG1"	"MT-CO3"	"SNRPN"	"DSG4"
"OS9"	"MT-CYB"	"SOX2"	"EIF4G1"
"OSBPL11"	"MT-ND1"	"SOX3"	"ESPN"
"PABPC3"	"MT-ND4"	"SPEN"	"FLI1"
"PAH"	"MT-ND5"	"SPTBN1"	"FTSJ1"
"PBRM1"	"MT-ND6"	"STS"	"GBA1"
"PC"	"MT-TC"	"STX1A"	"GIGYF2"
"PDCL"	"MT-TF"	"SUPT16H"	"GJA5"
"PDE4C"	"MT-TH"	"SYNGAP1"	"GJA8"
"PDGFB"	"MT-TK"	"SYNJ1"	"GP1BB"
"PDSS1"	"MT-TL1"	"SZT2"	"HARS1"
"PER1"	"MT-TQ"	"TAF4"	"HIRA"
"PGAP6"	"MT-TS2"	"TAF6"	"HTR2A"
"PGLS"	"MT-TV"	"TAOK1"	"JMJD1C"
"PGM3"	"MT-TW"	"TBCK"	"KRT81"
"PHF20"	"MTFMT"	"TBL2"	"KRT83"
"PI4K2A"	"NDUFAF1"	"TBR1"	"KRT86"
"PI4KB"	"PRKAG2"	"TBX1"	"LRRK2"
"PIBF1"	"TCAP"	"TCF12"	"MED12"
"PLAG1"	"TNNI3"	"TMEM270"	"MSTO1"
"PLD2"	"TSC1"	"TMLHE"	"MT-TE"
"PLOD2"	"TSC2"	"TRAK1"	"MT-TS2"
"PLXNB2"	"APAF1"	"TRIM32"	"MTHFR"
"PML"	"ATP5F1A"	"TSC1"	"MYO7A"
"POLH"	"ATP5F1B"	"TSC2"	"NIPA1"
"POLR1B"	"ATP5F1C"	"TTC8"	"NIPA2"
"PPIG"	"ATP5F1D"	"TUBG1"	"NKX2-1"
"PPP1R13L"	"ATP5F1E"	"UBA5"	"PCDH15"
"PRCP"	"ATP5MC1"	"UBE3A"	"PDZD7"
"PRDX6"	"ATP5MC1P5"	"UBE4B"	"PRODH"
"PRKAR2A"	"ATP5MC2"	"UFD1"	"PSAP"
"PRL"	"ATP5MC3"	"USF3"	"RBM12"
"PRP4K"	"ATP5PB"	"VPS37D"	"RREB1"
"PRPF40A"	"ATP5PD"	"WDPCP"	"RTN4R"
"PSG3"	"ATP5PF"	"WFS1"	"SEC24C"
"PSMC3IP"	"ATP5PO"	"WWOX"	"SETD1A"
"PTBP3"	"CASP3"	"YWHAG"	"SHANK3"
"PTGIS"	"CASP9"	"YY1"	"SLC12A2"
"PTGS1"	"COX4I1"	"ZBTB20"	"SNCA"
"PTH1R"	"COX4I2"	"ZFX"	"SYN2"
"PXN"	"COX5A"	"AADAT"	"TBX1"
"QARS1"	"COX5B"	"AANAT"	"TPM2"
"QKI"	"COX6A1"	"ABAT"	"TUBG1"
"RAB1B"	"COX6A2"	"ABCD4"	"UFD1"
"RABEP1"	"COX6B1"	"ABL1"	"UPF3B"
"RAD1"	"COX6B2"	"ABL2"	"USH1C"
"RBBP5"	"COX6C"	"ACACA"	"USH1G"
"RBBP6"	"COX6CP3"	"ACE"	"USH2A"
"RBCK1"	"COX7A1"	"ADA"	"VPS35"
"RBL1"	"COX7A2"	"ADAM10"	"WFS1"
"RBM8A"	"COX7A2L"	"ADGRL3"	"WHRN"
"RBPJ"	"COX7B"	"ADORA2A"	"ZBTB20"
"RGS9"	"COX7B2"	"ADRA1A"	"ZDHHC9"
"RHBDD3"	"COX7C"	"ADRA1B"	"ABCB7"
"RHOQ"	"COX8A"	"ADRA1D"	"ADGRV1"
"RNASEH2A"	"COX8C"	"ADRB2"	"AMACR"
"RNGTT"	"CYC1"	"ADSS2"	"APOL2"
"RPL13"	"CYCS"	"AGMO"	"APOL4"
"RUNX2"	"GPR37"	"AGTR1"	"ARSA"
"RXRB"	"MT-ATP6"	"AHCY"	"ARSG"
"S100A4"	"MT-ATP8"	"AKR1A1"	"ARVCF"
"SAP30BP"	"MT-ND2"	"AKR1B1"	"ATG7"
"SCLY"	"MT-ND3"	"AKR1C1"	"ATP2A2"
"SEC63"	"MT-ND4L"	"AKR1C3"	"CAT"
"SEMA3B"	"NDUFA1"	"AKT1S1"	"CDH23"
"SERTAD3"	"NDUFA10"	"AKT2"	"CEP78"
"SFN"	"NDUFA2"	"AKT3"	"CHI3L1"
"SFRP1"	"NDUFA3"	"ALDH1L1"	"CHRNA7"
"SGK1"	"NDUFA4"	"ALDH1L2"	"CIB2"
"SGK2"	"NDUFA4L2"	"ALDH2"	"CLRN1"
"SLAMF1"	"NDUFA5"	"ALDH9A1"	"CNTNAP2"
"SLC12A3"	"NDUFA6"	"ALPI"	"COMT"
"SLC14A1"	"NDUFA7"	"ALPL"	"DAOA"
"SLC19A1"	"NDUFA8"	"AMN"	"DNAJC13"
"SLC35A3"	"NDUFA9"	"AMPD1"	"DNMT3A"
"SLC35C1"	"NDUFAB1"	"AOC1"	"DRD3"
"SLC35F2"	"NDUFB1"	"AOX1"	"DSG4"
"SMARCC1"	"NDUFB10"	"APP"	"EIF4G1"
"SMARCC2"	"NDUFB2"	"APRT"	"ESPN"
"SMC1A"	"NDUFB3"	"ASMT"	"FLI1"
"SNHG20"	"NDUFB4"	"ATG10"	"FTSJ1"
"SNX11"	"NDUFB5"	"ATG101"	"GBA1"
"SNX16"	"NDUFB6"	"ATG12"	"GIGYF2"
"SP3"	"NDUFB7"	"ATG13"	"GJA5"
"SPAG1"	"NDUFB8"	"ATG14"	"GJA8"
"SPIB"	"NDUFB9"	"ATG16L1"	"GP1BB"
"SREBF1"	"NDUFC1"	"ATG2A"	"HARS1"
"SSH1"	"NDUFC2"	"ATG3"	"HIRA"
"SSH3"	"NDUFS1"	"ATG4A"	"HTR2A"
"SSPN"	"NDUFS2"	"ATG5"	"JMJD1C"
"SSR2"	"NDUFS3"	"ATG7"	"KRT81"
"ST6GALNAC4"	"NDUFS4"	"ATIC"	"KRT83"
"STAG2"	"NDUFS5"	"BECN1"	"KRT86"
"SYCP2"	"NDUFS6"	"BHMT"	"LRRK2"
"SYF2"	"NDUFS7"	"CACNG1"	"MED12"
"SYNC"	"NDUFS8"	"CACNG2"	"MSTO1"
"TACC1"	"NDUFV1"	"CACNG3"	"MT-TE"
"TAOK2"	"NDUFV2"	"CACNG4"	"MT-TS2"
"TASOR"	"NDUFV3"	"CACNG5"	"MTHFR"
"TAX1BP3"	"PPID"	"CACNG6"	"MYO7A"
"TBC1D5"	"SDHA"	"CACNG7"	"NIPA1"
"TBXA2R"	"SDHB"	"CACNG8"	"NIPA2"
"TCF3"	"SDHC"	"CALM1"	"NKX2-1"
"TCN2"	"SDHCP5"	"CBL"	"PCDH15"
"TCOF1"	"SDHD"	"CBLIF"	"PDZD7"
"TENT5A"	"SEPTIN5"	"CBR1"	"PRODH"
"TEX264"	"SLC18A1"	"CBS"	"PSAP"
"TGFBR3"	"SLC25A31"	"CCT6A"	"RBM12"
"THOC2"	"SLC25A4"	"CD320"	"RREB1"
"TLR1"	"SLC25A5"	"CDO1"	"RTN4R"
"TM7SF3"	"SLC25A6"	"CNR1"	"SEC24C"
"TNC"	"UBA1"	"CNR2"	"SETD1A"
"TNFRSF11B"	"UBA7"	"CNTN1"	"SHANK3"
"TNFRSF9"	"UBB"	"CNTN2"	"SLC12A2"
"TNS3"	"UBE2G1"	"CNTN3"	"SNCA"
"TNXA"	"UBE2G2"	"CNTN4"	"SYN2"
"TOPORS"	"UBE2J1"	"CNTN5"	"TBX1"
"TP53AIP1"	"UBE2J2"	"CNTN6"	"TPM2"
"TPD52"	"UBE2L3"	"CNTNAP1"	"TUBG1"
"TRIM38"	"UBE2L6"	"CNTNAP3"	"UFD1"
"TRIM44"	"UQCR10"	"CNTNAP4"	"UPF3B"
"TRMT1L"	"UQCR10P1"	"CPLX1"	"USH1C"
"TSC22D4"	"UQCR11"	"CSAD"	"USH1G"
"TSPAN31"	"UQCRB"	"CTH"	"USH2A"
"TSR3"	"UQCRC2"	"CTNNB1"	"VPS35"
"TTN"	"UQCRFS1"	"CTTN"	"WFS1"
"TTTY9A"	"UQCRH"	"CUBN"	"WHRN"
"TUBD1"	"UQCRHL"	"CYP2C19"	"ZBTB20"
"UGT1A10"	"UQCRQ"	"CYP2C9"	"ZDHHC9"
"UROD"	"VDAC1"	"CYP2D6"	"ABCB7"
"USH1C"	"VDAC2"	"CYP3A4"	"ADGRV1"
"USP1"	"VDAC2P5"	"DAG1"	"AMACR"
"USP19"	"VDAC3"	"DAGLA"	"APOL2"
"VCAN"	"CASP2"	"DAGLB"	"APOL4"
"VRK3"	"CASP6"	"DBH"	"ARSA"
"WAS"	"CASP7"	"DDC"	"ARSG"
"WWP2"	"CCNE1"	"DEPTOR"	"ARVCF"
"WWTR1"	"CCNE2"	"DGUOK"	"ATG7"
"YES1"	"DDC"	"DHFR"	"ATP2A2"
"ZBTB10"	"EPRS1"	"DLG1"	"CAT"
"ZC3H7B"	"MAPK11"	"DLG2"	"CDH23"
"ZFP36L2"	"MAPK12"	"DLG3"	"CEP78"
"ZHX3"	"MAPK13"	"DLG4"	"CHI3L1"
"ZMYM2"	"MAPK14"	"DLG5"	"CHRNA7"
"ZMYM5"	"MIR10A"	"DLGAP1"	"CIB2"
"ZNF136"	"MIR1224"	"DLGAP2"	"CLRN1"
"ZNF160"	"MIR127"	"DLGAP3"	"CNTNAP2"
"ZNF24"	"MIR128-1"	"DLGAP4"	"COMT"
"ZNF253"	"MIR128-2"	"DLGAP5"	"DAOA"
"ZNF254"	"MIR1294"	"DNMT1"	"DNAJC13"
"ZNF268"	"MIR132"	"DRD2"	"DNMT3A"
"ZNF32"	"MIR136"	"DRD4"	"DRD3"
"ZNF350"	"MIR16-2"	"DRD5"	"DSG4"
"ZNF43"	"MIR18A"	"EGFR"	"EIF4G1"
"ZNF444"	"MIR195"	"FAAH"	"ESPN"
"ZNF544"	"MIR19A"	"FAAH2"	"FLI1"
"ZNF7"	"MIR19B1"	"FMO1"	"FTSJ1"
"ZNF83"	"MIR19B2"	"FOLH1"	"GBA1"
"ZNF84"	"MIR212"	"FOLR1"	"GIGYF2"
"A4GNT"	"MIR26A1"	"FOLR2"	"GJA5"
"AAR2"	"MIR26A2"	"GABBR1"	"GJA8"
"AATK"	"MIR26B"	"GABRA1"	"GP1BB"
"ABCA2"	"MIR30A"	"GABRA3"	"HARS1"
"ABCB6"	"MIR30E"	"GABRA4"	"HIRA"
"ABCC10"	"MIR338"	"GABRB1"	"HTR2A"
"ABCD4"	"MIR34B"	"GABRB3"	"JMJD1C"
"ABL1"	"MIR34C"	"GABRG1"	"KRT81"
"ABLIM1"	"MIR370"	"GABRQ"	"KRT83"
"ACAA1"	"MIR375"	"GAD1"	"KRT86"
"ACADS"	"MIR409"	"GAD2"	"LRRK2"
"ACKR3"	"MIR431"	"GCAT"	"MED12"
"ACOX3"	"MIR433"	"GCH1"	"MSTO1"
"ACRV1"	"MIR4448"	"GK"	"MT-TE"
"ACSL1"	"MIR485"	"GKAP1"	"MT-TS2"
"ACTL6A"	"MIR503"	"GLS"	"MTHFR"
"ACVR1B"	"MIR873"	"GLS2"	"MYO7A"
"ADAM21"	"MIRLET7G"	"GLUL"	"NIPA1"
"ADAMDEC1"	"SYT11"	"GNAQ"	"NIPA2"
"ADAMTS9"	"ABCA7"	"GNMT"	"NKX2-1"
"ADAP1"	"ACBD6"	"GOT2"	"PCDH15"
"ADARB2"	"ADH1C"	"GPHN"	"PDZD7"
"ADCY3"	"AFG3L2"	"GRIA1"	"PRODH"
"ADGRG1"	"ALS2"	"GRIA2"	"PSAP"
"ADGRG2"	"AOPEP"	"GRIA4"	"RBM12"
"ADH1B"	"AP5Z1"	"GRIN1"	"RREB1"
"ADIPOQ"	"APOE"	"GRIN2A"	"RTN4R"
"AEBP1"	"APP"	"GRIN2B"	"SEC24C"
"AFF1"	"ARVCF"	"GRIN2C"	"SETD1A"
"AFM"	"ATN1"	"GRIN3A"	"SHANK3"
"AGPAT2"	"ATP13A2"	"GRIN3B"	"SLC12A2"
"AGRN"	"ATP1A3"	"GRIP1"	"SNCA"
"AHCTF1"	"ATP6AP2"	"GRIP2"	"SYN2"
"AK1"	"ATP7B"	"GRM1"	"TBX1"
"AK2"	"ATXN2"	"GRM2"	"TPM2"
"AKAP1"	"ATXN3"	"GRM3"	"TUBG1"
"AKAP8L"	"ATXN8OS"	"GRM4"	"UFD1"
"AKR1C1"	"C19orf12"	"GRM5"	"UPF3B"
"AKR1C3"	"C9orf72"	"GRM6"	"USH1C"
"AKT3"	"CAT"	"GRM7"	"USH1G"
"ALDH1A2"	"CBS"	"GRM8"	"USH2A"
"ALDH3A2"	"CHCHD10"	"HCFC1"	"VPS35"
"AMOTL2"	"CHCHD2"	"HDC"	"WFS1"
"AMPD3"	"CHMP2B"	"HNMT"	"WHRN"
"ANAPC2"	"CLN3"	"HOMER1"	"ZBTB20"
"ANG"	"COASY"	"HOMER2"	"ZDHHC9"
"ANXA1"	"COMT"	"HOMER3"	"ABCB7"
"ANXA2"	"COQ2"	"HPRT1"	"ADGRV1"
"AOC2"	"CP"	"HTR1D"	"AMACR"
"AOPEP"	"CSF1R"	"HTR1E"	"APOL2"
"AP1B1"	"CYP27A1"	"HTR1F"	"APOL4"
"AP3S2"	"DCTN1"	"HTR2A"	"ARSA"
"AP5S1"	"DNAJC12"	"HTR2B"	"ARSG"
"APBA3"	"DNAJC13"	"HTR3B"	"ARVCF"
"APOBEC1"	"DNAJC5"	"HTR3C"	"ATG7"
"APTX"	"DNAJC6"	"HTR3D"	"ATP2A2"
"AQP1"	"EIF2AK2"	"HTR3E"	"CAT"
"AQP6"	"EIF4G1"	"HTR4"	"CDH23"
"ARAP1"	"FBXO7"	"HTR6"	"CEP78"
"ARAP2"	"FMR1"	"HTR7"	"CHI3L1"
"ARG2"	"FTL"	"IDO1"	"CHRNA7"
"ARHGAP1"	"FUS"	"IDO2"	"CIB2"
"ARHGAP26"	"GABRA1"	"IMPDH1"	"CLRN1"
"ARHGAP6"	"GABRG2"	"INSR"	"CNTNAP2"
"ARHGEF10"	"GBA1"	"ITPA"	"COMT"
"ARHGEF16"	"GCH1"	"KCNA1"	"DAOA"
"ARHGEF18"	"GIGYF2"	"KCNA3"	"DNAJC13"
"ARMC8"	"GP1BB"	"KCNA4"	"DNMT3A"
"ASAP3"	"GRN"	"KCNA5"	"DRD3"
"ASB1"	"HIRA"	"KCNA6"	"DSG4"
"ASB9"	"HTRA2"	"KCNA7"	"EIF4G1"
"ATF5"	"IMPDH2"	"KIT"	"ESPN"
"ATG4B"	"JAM2"	"KMO"	"FLI1"
"ATP6V0E1"	"JMJD1C"	"KYAT1"	"FTSJ1"
"ATP7A"	"JPH3"	"KYAT3"	"GBA1"
"AVEN"	"KCNN2"	"KYNU"	"GIGYF2"
"AVPR1A"	"KIF5A"	"LMBRD1"	"GJA5"
"AZGP1"	"LRRK2"	"MAOB"	"GJA8"
"B4GALT2"	"LYST"	"MAP1LC3A"	"GP1BB"
"BACH2"	"MAPT"	"MAPKAP1"	"HARS1"
"BAD"	"MECP2"	"MAT1A"	"HIRA"
"BAG1"	"MPO"	"MAT2B"	"HTR2A"
"BANP"	"MPV17"	"MC4R"	"JMJD1C"
"BAZ1A"	"MT-TT"	"MLST8"	"KRT81"
"BAZ2A"	"MYORG"	"MMAA"	"KRT83"
"BAZ2B"	"NAA60"	"MMACHC"	"KRT86"
"BCAM"	"NOS3"	"MMADHC"	"LRRK2"
"BCAT2"	"NOTCH3"	"MMUT"	"MED12"
"BCL2"	"NR4A2"	"MOCOS"	"MSTO1"
"BCL6"	"PANK2"	"MTHFD1"	"MT-TE"
"BEST1"	"PARK7"	"MTHFD1L"	"MT-TS2"
"BFAR"	"PCBD1"	"MTHFD2"	"MTHFR"
"BGLAP"	"PCDH19"	"MTHFD2L"	"MYO7A"
"BHMT2"	"PDE10A"	"MTHFR"	"NIPA1"
"BIN1"	"PDGFB"	"MTOR"	"NIPA2"
"BIN3"	"PDGFRB"	"MTR"	"NKX2-1"
"BIRC2"	"PINK1"	"MTRR"	"PCDH15"
"BMP10"	"PLA2G6"	"NADSYN1"	"PDZD7"
"BMP2K"	"PLAU"	"NCAM1"	"PRODH"
"BMPR1A"	"POLG"	"NGLY1"	"PSAP"
"BRCA1"	"PPP2R2B"	"NLGN1"	"RBM12"
"BRD2"	"PRKAR1B"	"NLGN2"	"RREB1"
"BRD3"	"PRKN"	"NLGN4X"	"RTN4R"
"BRD4"	"PRKRA"	"NMNAT1"	"SEC24C"
"BRPF1"	"PRNP"	"NOS1"	"SETD1A"
"BTG2"	"PSAP"	"NOS2"	"SHANK3"
"BTG3"	"PSEN1"	"NOS3"	"SLC12A2"
"BTN3A3"	"PSEN2"	"NOX1"	"SNCA"
"BTNL3"	"PTPA"	"NOX3"	"SYN2"
"BTRC"	"PTRHD1"	"NOX4"	"TBX1"
"C15orf39"	"PTS"	"NOX5"	"TPM2"
"C1R"	"RAB39B"	"NRXN1"	"TUBG1"
"C1S"	"RREB1"	"NRXN2"	"UFD1"
"C21orf91"	"SCARB2"	"NRXN3"	"UPF3B"
"C3orf18"	"SCN1A"	"OPRM1"	"USH1C"
"C4A"	"SCN1B"	"OXT"	"USH1G"
"C7"	"SCN2A"	"OXTR"	"USH2A"
"CA1"	"SCN9A"	"PCBD1"	"VPS35"
"CACFD1"	"SEC24C"	"PCBD2"	"WFS1"
"CACNA1A"	"SIGMAR1"	"PDGFRA"	"WHRN"
"CACNA1G"	"SLC18A2"	"PDGFRB"	"ZBTB20"
"CALD1"	"SLC20A2"	"PDXK"	"ZDHHC9"
"CANT1"	"SLC30A10"	"PIK3AP1"	"ABCB7"
"CAPN15"	"SLC39A14"	"PIK3C3"	"ADGRV1"
"CAPN3"	"SLC6A3"	"PIK3CB"	"AMACR"
"CARM1"	"SNCA"	"PIK3CD"	"APOL2"
"CASC3"	"SNCAIP"	"PIK3R1"	"APOL4"
"CASK"	"SNCB"	"PIK3R2"	"ARSA"
"CASKIN2"	"SORL1"	"PIK3R3"	"ARSG"
"CASP3"	"SPG11"	"PIK3R4"	"ARVCF"
"CASP4"	"SPTLC1"	"PLCG1"	"ATG7"
"CASP9"	"SQSTM1"	"PLCG2"	"ATP2A2"
"CAVIN1"	"STUB1"	"PNMT"	"CAT"
"CBFB"	"SYNJ1"	"PNP"	"CDH23"
"CBLB"	"TAF1"	"PNPO"	"CEP78"
"CCDC22"	"TARDBP"	"PRKAA1"	"CHI3L1"
"CCDC69"	"TBK1"	"PRKAA2"	"CHRNA7"
"CCDC9"	"TBP"	"PRKACA"	"CIB2"
"CCHCR1"	"TBX1"	"PRKACB"	"CLRN1"
"CCND3"	"TH"	"PRKACG"	"CNTNAP2"
"CCNI"	"TK2"	"PRKAR1A"	"COMT"
"CCR10"	"TMEM106B"	"PRKAR1B"	"DAOA"
"CD163"	"TMEM240"	"PRKAR2B"	"DNAJC13"
"CD164"	"TNR"	"PRKCA"	"DNMT3A"
"CD1D"	"TOMM40"	"PRKCB"	"DRD3"
"CD22"	"TREM2"	"PRKCD"	"DSG4"
"CD248"	"TRPM7"	"PRKCG"	"EIF4G1"
"CD2BP2"	"TSPOAP1"	"PTK2B"	"ESPN"
"CD37"	"TWNK"	"PTS"	"FLI1"
"CD84"	"UBTF"	"QDPR"	"FTSJ1"
"CD86"	"UCHL1"	"QPRT"	"GBA1"
"CDC16"	"UFD1"	"RB1CC1"	"GIGYF2"
