"Alzheimer"	"Parkinson"	"Autism"	"Schizophrenia"
"COPS4"	"PPID"	"TTC8"	"DRD3"
"COPS5"	"SDHA"	"TUBG1"	"DSG4"
"COPS7A"	"SDHB"	"UBA5"	"EIF4G1"
"COPS8"	"SDHC"	"UBE3A"	"ESPN"
"COX11"	"SDHCP5"	"UBE4B"	"FLI1"
"COX4I1"	"SDHD"	"UFD1"	"FTSJ1"
"COX5A"	"SEPTIN5"	"USF3"	"GBA1"
"COX5B"	"SLC18A1"	"VPS37D"	"GIGYF2"
"COX6A1"	"SLC25A31"	"WDPCP"	"GJA5"
"COX6B1"	"SLC25A4"	"WFS1"	"GJA8"
"COX6C"	"SLC25A5"	"WWOX"	"GP1BB"
"COX7A2"	"SLC25A6"	"YWHAG"	"HARS1"
"COX7A2L"	"UBA1"	"YY1"	"HIRA"
"COX7B"	"UBA7"	"ZBTB20"	"HTR2A"
"COX7C"	"UBB"	"ZFX"	"JMJD1C"
"COX8A"	"UBE2G1"	"AADAT"	"KRT81"
"CPNE6"	"UBE2G2"	"AANAT"	"KRT83"
"CPSF6"	"UBE2J1"	"ABAT"	"KRT86"
"CRH"	"UBE2J2"	"ABCD4"	"LRRK2"
"CRIM1"	"UBE2L3"	"ABL1"	"MED12"
"CRMP1"	"UBE2L6"	"ABL2"	"MSTO1"
"CRNKL1"	"UQCR10"	"ACACA"	"MT-TE"
"CRYM"	"UQCR10P1"	"ACE"	"MT-TS2"
"CRYZ"	"UQCR11"	"ADA"	"MTHFR"
"CS"	"UQCRB"	"ADAM10"	"MYO7A"
"CSE1L"	"UQCRC2"	"ADGRL3"	"NIPA1"
"CSNK1G3"	"UQCRFS1"	"ADORA2A"	"NIPA2"
"CSNK2A1"	"UQCRH"	"ADRA1A"	"NKX2-1"
"CSPG5"	"UQCRHL"	"ADRA1B"	"PCDH15"
"CTNNA2"	"UQCRQ"	"ADRA1D"	"PDZD7"
"CUL1"	"VDAC1"	"ADRB2"	"PRODH"
"CUL2"	"VDAC2"	"ADSS2"	"PSAP"
"CUTA"	"VDAC2P5"	"AGMO"	"RBM12"
"CXCL14"	"VDAC3"	"AGTR1"	"RREB1"
"CYC1"	"CASP2"	"AHCY"	"RTN4R"
"CYCS"	"CASP6"	"AKR1A1"	"SEC24C"
"CYP26B1"	"CASP7"	"AKR1B1"	"SETD1A"
"DARS1"	"CCNE1"	"AKR1C1"	"SHANK3"
"DCAF6"	"CCNE2"	"AKR1C3"	"SLC12A2"
"DCTN2"	"DDC"	"AKT1S1"	"SNCA"
"DCTN6"	"EPRS1"	"AKT2"	"SYN2"
"DDN"	"MAPK11"	"AKT3"	"TBX1"
"DDOST"	"MAPK12"	"ALDH1L1"	"TPM2"
"DDT"	"MAPK13"	"ALDH1L2"	"TUBG1"
"DDX1"	"MAPK14"	"ALDH2"	"UFD1"
"DDX47"	"MIR10A"	"ALDH9A1"	"UPF3B"
"DDX5"	"MIR1224"	"ALPI"	"USH1C"
"DEAF1"	"MIR127"	"ALPL"	"USH1G"
"DEGS1"	"MIR128-1"	"AMN"	"USH2A"
"DENND4A"	"MIR128-2"	"AMPD1"	"VPS35"
"DGKB"	"MIR1294"	"AOC1"	"WFS1"
"DGUOK"	"MIR132"	"AOX1"	"WHRN"
"DHCR7"	"MIR136"	"APP"	"ZBTB20"
"DIMT1"	"MIR16-2"	"APRT"	"ZDHHC9"
"DIO2"	"MIR18A"	"ASMT"	"ABCB7"
"DIPK1A"	"MIR195"	"ATG10"	"ADGRV1"
"DIRAS2"	"MIR19A"	"ATG101"	"AMACR"
"DIRAS3"	"MIR19B1"	"ATG12"	"APOL2"
"DLAT"	"MIR19B2"	"ATG13"	"APOL4"
"DLD"	"MIR212"	"ATG14"	"ARSA"
"DLG2"	"MIR26A1"	"ATG16L1"	"ARSG"
"DLGAP1"	"MIR26A2"	"ATG2A"	"ARVCF"
"DLGAP2"	"MIR26B"	"ATG3"	"ATG7"
"DMD"	"MIR30A"	"ATG4A"	"ATP2A2"
"DMTN"	"MIR30E"	"ATG5"	"CAT"
"DMXL2"	"MIR338"	"ATG7"	"CDH23"
"DNAJA1"	"MIR34B"	"ATIC"	"CEP78"
"DNAJB9"	"MIR34C"	"BECN1"	"CHI3L1"
"DNAJC12"	"MIR370"	"BHMT"	"CHRNA7"
"DNAJC6"	"MIR375"	"CACNG1"	"CIB2"
"DNAJC8"	"MIR409"	"CACNG2"	"CLRN1"
"DNM1L"	"MIR431"	"CACNG3"	"CNTNAP2"
"DOCK3"	"MIR433"	"CACNG4"	"COMT"
"DRAP1"	"MIR4448"	"CACNG5"	"DAOA"
"DSC2"	"MIR485"	"CACNG6"	"DNAJC13"
"DUSP5"	"MIR503"	"CACNG7"	"DNMT3A"
"DUSP6"	"MIR873"	"CACNG8"	"DRD3"
"DYNC1H1"	"MIRLET7G"	"CALM1"	"DSG4"
"DYNC1I1"	"SYT11"	"CBL"	"EIF4G1"
"DYNC1I2"	"ABCA7"	"CBLIF"	"ESPN"
"DYNC1LI1"	"ACBD6"	"CBR1"	"FLI1"
"DYNC2LI1"	"ADH1C"	"CBS"	"FTSJ1"
"DYNLL1"	"AFG3L2"	"CCT6A"	"GBA1"
"DYNLRB1"	"ALS2"	"CD320"	"GIGYF2"
"DYNLT3"	"AOPEP"	"CDO1"	"GJA5"
"DZIP1"	"AP5Z1"	"CNR1"	"GJA8"
"EBP"	"APOE"	"CNR2"	"GP1BB"
"ECH1"	"APP"	"CNTN1"	"HARS1"
"ECT2"	"ARVCF"	"CNTN2"	"HIRA"
"EDN3"	"ATN1"	"CNTN3"	"HTR2A"
"EEF1E1"	"ATP13A2"	"CNTN4"	"JMJD1C"
"EFNB2"	"ATP1A3"	"CNTN5"	"KRT81"
"EID1"	"ATP6AP2"	"CNTN6"	"KRT83"
"EIF1B"	"ATP7B"	"CNTNAP1"	"KRT86"
"EIF2AK1"	"ATXN2"	"CNTNAP3"	"LRRK2"
"EIF2B1"	"ATXN3"	"CNTNAP4"	"MED12"
"EIF2B3"	"ATXN8OS"	"CPLX1"	"MSTO1"
"EIF2S1"	"C19orf12"	"CSAD"	"MT-TE"
"EIF3D"	"C9orf72"	"CTH"	"MT-TS2"
"EIF3K"	"CAT"	"CTNNB1"	"MTHFR"
"EIF5"	"CBS"	"CTTN"	"MYO7A"
